ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile50.0,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,self-esteem
3,36.2403,0.065329224,36.215443,0.556168,0.40065348,0.5141539,0.27885085,0.61252517,7.896483,0.2986177,-18.760744,-0.28589675,0.1323913,0.18804699,28
4,29.753056,0.07587234,29.64744,0.49470973,0.36398643,0.48590788,0.21238708,0.54528725,5.6355762,0.4195713,-18.1848,-0.29502022,0.2111111,0.25755608,28
5,34.455727,0.07590607,34.76519,0.46573573,0.31191456,0.46161303,0.23983216,0.55785453,8.0243635,0.3196021,-20.114777,-0.33643225,0.16173914,0.20870513,27
7,36.97606,0.09536125,37.359917,0.35631508,0.3509963,0.35025492,0.13696267,0.4841934,7.5572767,0.33310974,-17.543886,-0.31669307,0.30829546,0.43732196,26
8,36.654087,0.07353546,36.35986,0.7535845,0.59593,0.7146867,0.43139115,0.84061074,7.199203,0.46228117,-14.784091,-0.49488533,0.27444443,0.506222,28
9,35.469486,0.069623806,35.820652,0.5249757,0.36378843,0.5263765,0.23235942,0.5355025,8.656868,0.329557,-19.960678,-0.3288024,0.14952381,0.1979773,32
10,34.145477,0.06087257,34.149002,0.54849756,0.42223415,0.5263404,0.23621325,0.56929135,7.451346,0.38881448,-16.75826,-0.37975883,0.18759492,0.23434919,32
11,36.24608,0.054074787,35.840084,0.67436284,0.39359036,0.6475293,0.2734184,0.5703527,7.7304773,0.37281576,-12.719936,-0.5351656,0.15325,0.17849213,40
12,33.835762,0.10906035,34.22224,0.48878732,0.41789365,0.48150873,0.21240808,0.6281252,6.7459583,0.42430994,-17.045988,-0.3571301,0.24613635,0.39210504,32
13,31.033682,0.0663974,31.223711,0.45372546,0.25691584,0.44081712,0.1939379,0.3856072,5.756967,0.37483877,-17.09001,-0.2903027,0.20972726,0.20991977,36
15,31.931374,0.053626504,31.872711,0.6966913,0.43502015,0.65045124,0.3342581,0.56019014,6.1343646,0.37261957,-15.520702,-0.37308225,0.18738094,0.3452677,28
16,38.76668,0.047984824,38.516476,0.5969292,0.37847182,0.5787565,0.25862616,0.52296424,8.160029,0.33301327,-15.03428,-0.43868643,0.21382022,0.32332718,24
18,34.038467,0.1347361,35.421974,0.40252218,0.32029006,0.3779187,0.18150185,0.46683016,6.972155,0.39669612,-19.954895,-0.2726863,0.43681818,0.49421248,23
19,34.954227,0.06640442,35.16933,0.5180801,0.3475557,0.5164996,0.24128203,0.54961467,7.114838,0.34686443,-17.768864,-0.3214583,0.18979797,0.33136988,28
20,34.909424,0.13735567,36.525055,0.41476128,0.39052185,0.3972825,0.18008903,0.5841412,7.332261,0.3851777,-19.977142,-0.23285764,0.23297618,0.38629737,31
21,34.559635,0.11862013,34.711586,0.71582794,0.46444872,0.70512605,0.40448827,0.6608585,6.947043,0.44500515,-17.213835,-0.34871927,0.16858824,0.19044314,31
22,35.154903,0.074713275,35.511005,0.3931372,0.35420188,0.39871454,0.17437871,0.54381335,7.9896483,0.3742186,-19.598078,-0.3360758,0.2705747,0.3266632,30
23,36.10762,0.10295342,36.438816,0.571842,0.404263,0.58574766,0.28194207,0.6002982,7.479925,0.35129413,-18.611193,-0.3084561,0.17707317,0.27387235,28
24,27.717735,0.06307891,27.61213,0.63583976,0.42856568,0.64756864,0.35879245,0.64957297,5.1171494,0.5028882,-20.121006,-0.2765173,0.15946808,0.19192955,30
25,32.42132,0.0717297,32.056683,0.41883826,0.38644174,0.41007385,0.18423584,0.5811542,6.700314,0.33786118,-19.082277,-0.2769794,0.24791208,0.57604855,30
26,25.685326,0.047401402,25.426275,0.4005593,0.35063437,0.3894527,0.19100106,0.5280973,5.2245173,0.3437547,-22.452621,-0.20985372,0.17240962,0.1796958,33
27,34.28909,0.08513392,34.893063,0.48757485,0.35183048,0.4887035,0.19314152,0.54499453,8.772304,0.281519,-19.52606,-0.26356706,0.22706895,0.44899887,24
28,34.847507,0.07784811,35.138187,0.5151995,0.40894327,0.49905786,0.24083598,0.6148741,7.39583,0.37064582,-17.474411,-0.3354595,0.20945945,0.27768296,30
30,37.355545,0.045383252,37.268368,0.5171266,0.30322075,0.5135553,0.26637647,0.41853186,8.816429,0.25617155,-20.518557,-0.30614364,0.16544554,0.21089399,30
31,37.38523,0.07118926,37.59565,0.3652019,0.35236275,0.33763388,0.14851797,0.5425084,8.394461,0.30647498,-20.37973,-0.29621953,0.3459722,0.5393608,30
32,34.79774,0.10656216,35.815014,0.34023428,0.29396412,0.33133072,0.12925676,0.4751865,8.42748,0.29062554,-21.457117,-0.23207429,0.21607143,0.3115782,25
33,22.97603,0.13544752,22.59884,0.74444157,0.4452709,0.7187206,0.40709716,0.6097512,3.1125228,0.6545602,-17.711079,-0.32762742,0.16357894,0.23588987,31
34,34.550224,0.10466539,34.986263,0.5279329,0.3980082,0.5172202,0.25467137,0.627235,7.4980016,0.4322458,-19.146013,-0.34491408,0.18880434,0.20859694,31
35,34.256763,0.08767653,33.886772,0.78839654,0.41269898,0.7597,0.46911106,0.5938388,7.3854575,0.38890633,-17.73249,-0.34942067,0.14418367,0.19288321,29
37,35.525063,0.07211478,35.492672,0.42254695,0.40837866,0.41918847,0.18098569,0.6482454,7.7237964,0.3385773,-19.819275,-0.31203696,0.24182926,0.4160005,29
38,33.076557,0.08098883,33.22833,0.68528056,0.5010803,0.66687006,0.3515353,0.7061249,7.5433774,0.37583038,-16.629852,-0.3547864,0.19197369,0.4373064,30
39,32.57194,0.07292689,32.429775,0.4187707,0.31516716,0.41010937,0.16945644,0.48631823,8.034653,0.30033085,-20.603422,-0.28592113,0.17999999,0.23511608,40
40,31.979445,0.16136914,34.12817,0.43402106,0.34932303,0.4310423,0.17032008,0.45880494,5.706539,0.47208667,-18.376726,-0.2800298,0.15859812,0.23512353,30
42,35.233402,0.084888875,35.532307,0.42755392,0.3293974,0.4210948,0.16616628,0.52458674,7.530894,0.35877985,-17.336464,-0.33260718,0.21682352,0.26586246,29
43,31.463005,0.14128062,33.001038,0.4781777,0.2265749,0.46315536,0.21692078,0.32464215,5.4073915,0.416704,-18.087532,-0.2684459,0.36493826,0.3878625,36
44,37.123085,0.07139445,37.474426,0.44593722,0.53457224,0.40965787,0.19203588,0.72046113,8.419601,0.35059696,-17.048943,-0.3831205,0.45458332,0.6796812,32
45,32.557213,0.037933264,32.36147,0.5816215,0.41377187,0.5715131,0.2609451,0.5268011,7.1202145,0.30112037,-16.046223,-0.33893442,0.2893243,0.38628978,34
46,34.987644,0.0700505,35.082436,0.57390857,0.39986593,0.56065714,0.26375788,0.60328007,6.9110155,0.36577708,-15.795211,-0.33300558,0.17698795,0.22511436,30
47,28.148865,0.074748084,27.830452,0.6275941,0.37710932,0.6158076,0.32268813,0.5034825,5.6373396,0.40735087,-17.478401,-0.36667302,0.19297872,0.20397556,31
48,37.360054,0.06379688,37.215477,0.48412785,0.39188755,0.48253283,0.17304571,0.5754143,8.793302,0.2982837,-16.69324,-0.31725323,0.23553845,0.4344051,33
50,34.02855,0.122961394,35.017284,0.4723016,0.50925297,0.42293492,0.19193116,0.6701579,6.8421254,0.4305716,-15.275256,-0.45176232,0.29999998,0.705739,35
52,32.3234,0.0912809,32.71959,0.5280331,0.3450786,0.50843906,0.23255369,0.47044536,6.939571,0.3394944,-19.65064,-0.2476496,0.20747253,0.40303135,34
53,25.971462,0.119733796,25.12327,0.6017525,0.45138738,0.5892939,0.30335224,0.6029506,4.7335286,0.44197193,-17.366226,-0.26267838,0.25368422,0.2920834,33
55,33.36659,0.12140455,34.58327,0.41533232,0.41223186,0.38455483,0.2034494,0.66150737,6.9360123,0.37891397,-20.906458,-0.23985438,0.27445784,0.6999453,30
56,34.52029,0.08796171,35.024982,0.38203344,0.3710398,0.3626866,0.16048452,0.5633439,7.3759556,0.33595568,-17.999672,-0.3702944,0.19069307,0.21501213,31
60,33.02986,0.07490637,33.250134,0.48767677,0.44348836,0.47689995,0.18663546,0.67305505,7.6353474,0.37961608,-17.94464,-0.36206272,0.22141024,0.32753438,33
61,36.034546,0.05585944,35.869957,0.4402904,0.40616882,0.44027102,0.18317904,0.60611224,8.386775,0.32122386,-18.849897,-0.3209863,0.23404762,0.32454407,28
65,35.47647,0.038742114,35.637978,0.37973046,0.6308384,0.23888405,0.15399534,0.97204417,7.5480566,0.39046663,-15.782613,-0.40546384,0.73925,2.7870157,22
67,34.74842,0.08164739,34.87876,0.5237786,0.54976153,0.539968,0.22559397,0.7665588,7.1082916,0.43005666,-15.791462,-0.40000737,0.28675675,0.9630977,31
68,22.800537,0.055317648,22.653046,0.4221718,0.40918028,0.40299115,0.17446409,0.5243717,3.3573062,0.49823496,-16.504604,-0.30651462,0.38603175,0.38508105,29
70,30.256395,0.10031443,30.618809,0.4873243,0.39844364,0.47120777,0.2135309,0.59769714,6.56286,0.3544449,-18.054483,-0.22904518,0.2578481,0.31296325,31
71,37.24907,0.062609576,37.341187,0.61347866,0.4679244,0.5621422,0.30918047,0.57780296,7.974921,0.3337409,-16.838848,-0.43022653,0.21782051,0.26894212,37
72,35.331566,0.067798235,35.36273,0.38648793,0.4210212,0.3839197,0.12401048,0.59002125,8.528503,0.34563133,-17.278543,-0.39634866,0.30313432,0.40374815,26
74,34.95152,0.053288963,34.68996,0.48612493,0.40975228,0.46966788,0.20637159,0.61250746,8.073136,0.33945024,-17.39545,-0.39471143,0.19696203,0.2729184,32
75,27.084585,0.05691337,26.950394,0.5444247,0.38684297,0.54364055,0.26695573,0.54733217,4.916141,0.4050384,-18.572613,-0.27233693,0.16333334,0.33562213,31
76,32.838516,0.06910558,32.814957,0.42047793,0.31872344,0.40625048,0.16904026,0.44492537,7.219897,0.3140204,-19.931456,-0.24180835,0.1983721,0.2188068,24
77,28.11322,0.053168498,27.981121,0.50023,0.3955275,0.49111673,0.2609796,0.57984376,5.286439,0.4226974,-20.600725,-0.23673919,0.1723301,0.21015115,31
78,37.050396,0.077890456,37.53769,0.44962525,0.23188436,0.44729185,0.15118034,0.38000837,7.127615,0.37039426,-14.856463,-0.37406516,0.20518868,0.21467938,29
79,35.021843,0.059775036,35.112766,0.47468236,0.49733192,0.4670023,0.19166265,0.7172621,7.980004,0.377099,-16.590717,-0.40556082,0.2659091,0.5101039,38
80,35.675026,0.07889159,35.811256,0.596307,0.44053343,0.57387716,0.31965256,0.6496422,7.8144855,0.39983147,-17.469978,-0.434729,0.16010526,0.16396724,27
85,35.368847,0.052538194,35.010746,0.5734027,0.51468426,0.57698137,0.2729736,0.71297646,7.867659,0.38047716,-16.965435,-0.3836329,0.2075,0.39630044,35
86,34.376797,0.06397717,34.469772,0.34726092,0.41088858,0.32955933,0.12160595,0.5604942,6.9926424,0.33503792,-16.357166,-0.3660224,0.2642222,0.45801497,31
89,33.95579,0.10723213,34.163494,0.42975467,0.37048805,0.40854347,0.17864583,0.5834713,7.802198,0.37635735,-19.856644,-0.3511556,0.14181818,0.1699219,32
90,31.506264,0.19594441,35.561737,0.2707335,0.26284695,0.26430425,0.0945729,0.43011573,5.829338,0.5135495,-20.338255,-0.2518151,0.5917544,0.64240265,31
91,22.09659,0.14614144,21.315397,0.49451125,0.5476845,0.47373572,0.23045684,0.9040851,3.3566403,0.5353598,-17.257927,-0.32063362,0.18287128,0.2987211,32
92,28.868368,0.08642293,28.769009,0.97579503,0.39839378,0.9812314,0.6342684,0.56791437,4.9806867,0.48082772,-16.680712,-0.3299516,0.12729508,0.14822471,33
94,35.282124,0.05203594,35.034286,0.54672444,0.37317985,0.5247607,0.2314355,0.5187233,7.4018188,0.3812077,-15.858288,-0.43876663,0.13674419,0.21169549,33
95,29.504045,0.08477836,29.154724,0.6673566,0.39959776,0.6657426,0.36516577,0.56429446,4.4843416,0.54942435,-17.628664,-0.31420156,0.19359222,0.30710948,21
96,34.37687,0.06654997,34.325455,0.6310028,0.48607743,0.6444716,0.33829725,0.6957016,8.280373,0.31993368,-18.74892,-0.33986768,0.20316666,0.41601878,26
97,24.459972,0.07413416,24.233828,0.46928728,0.44327545,0.44945946,0.19072694,0.5689907,3.9786162,0.4726006,-15.041166,-0.35299525,0.23214285,0.338639,28
98,36.27348,0.07882923,36.165504,0.4769962,0.37531942,0.46738347,0.22290255,0.55956626,7.8854213,0.3125989,-18.473032,-0.29663637,0.1545283,0.25888777,39
100,37.65464,0.067305446,37.642704,0.6536211,0.4131525,0.61110836,0.31654525,0.60943806,8.7672,0.36185536,-17.494768,-0.40190166,0.12892857,0.13495164,28
103,33.492214,0.06373548,33.46673,0.5337767,0.39486265,0.5119443,0.25902635,0.5304389,7.2773,0.36805788,-18.946632,-0.3244634,0.22023529,0.38235793,29
104,35.051277,0.05963039,34.784695,0.44159338,0.74148804,0.2311057,0.17452873,0.9756195,7.213823,0.40787247,-14.313091,-0.51628417,0.46327272,2.2435853,29
105,36.011303,0.056324992,36.194164,0.32151255,0.36178717,0.3175644,0.11679164,0.58540815,8.850249,0.28186586,-18.218374,-0.36765978,0.235,0.33979538,24
106,34.768505,0.071704246,34.45448,0.68898374,0.39951012,0.6648522,0.37897545,0.6365648,7.540163,0.38939703,-18.19296,-0.3748548,0.107551016,0.14584771,33
